Chemical formula,Radius A [ang],Radius B [ang],Radius O,Tolerance factor,Lowest distortion,a [ang],b [ang],c [ang],Curie Temperature (K)
EuYbO3,1.12,0.87,1.36,0.786378842,cubic,4.107,4.107,4.107,
EuZnO3,1.48,0.74,1.36,0.956277742,rhombohedral,5.295,5.295,5.295,
EuZrO3,1.48,0.72,1.36,0.96547272,orthorhombic,5.661,5.809,8.087,
FeAcO3,0.85,1.12,1.36,0.630123382,orthorhombic,5.802,5.819,9.072,
FeAgO3,0.78,0.75,1.36,0.717160432,orthorhombic,5.105,5.26,8.427,
FeAlO3,0.78,0.54,1.36,0.796425532,cubic,3.615,3.615,3.615,
FeAsO3,0.78,0.58,1.36,0.780004387,cubic,3.758,3.758,3.758,
FeAuO3,0.85,0.93,1.36,0.682404361,cubic,4,4,4,
FeBO3,0.78,0.27,1.36,0.92834878,cubic,3.322,3.322,3.322,
FeBaO3,0.85,1.35,1.36,0.576644275,orthorhombic,5.362,6.167,9.825,
FeBeO3,0.85,0.45,1.36,0.863373473,cubic,4.319,4.319,4.319,
FeBiO3,0.92,0.76,1.36,0.760473331,orthorhombic,5.643,5.652,8.184,
FeCaO3,0.85,1,1.36,0.662163554,orthorhombic,5.458,5.547,8.475,
FeCdO3,0.85,0.95,1.36,0.676496098,orthorhombic,5.404,5.444,8.272,
FeCeO3,0.92,0.87,1.36,0.722961193,orthorhombic,5.697,5.723,8.764,
FeCoO3,0.92,0.53,1.36,0.853017704,cubic,3.595,3.595,3.595,
FeCrO3,0.92,0.55,1.36,0.844085582,cubic,3.942,3.942,3.942,
FeCsO3,0.85,1.67,1.36,0.51574455,rhombohedral,6.833,6.833,6.833,
FeCuO3,0.85,0.68,1.36,0.766032346,cubic,4.367,4.367,4.367,
FeDyO3,0.78,0.91,1.36,0.666611679,cubic,4.263,4.263,4.263,
FeErO3,0.78,0.89,1.36,0.672537116,cubic,4.12,4.12,4.12,
FeEuO3,0.78,0.95,1.36,0.65506862,orthorhombic,5.643,5.67,8.401,
FeGaO3,0.78,0.62,1.36,0.764246723,cubic,3.735,3.735,3.735,
FeGdO3,0.78,0.94,1.36,0.657916744,orthorhombic,5.532,5.565,8.369,
FeGeO3,0.92,0.53,1.36,0.853017704,cubic,3.691,3.691,3.691,
FeHfO3,0.92,0.71,1.36,0.778842252,cubic,4.043,4.043,4.043,
FeHgO3,0.85,1.11,1.36,0.632674488,orthorhombic,5.322,5.442,8.718,
FeHoO3,0.78,0.9,1.36,0.669561288,cubic,4.491,4.491,4.491,
FeInO3,0.85,0.8,1.36,0.723474994,-,-,-,-,
FeIrO3,0.92,0.63,1.36,0.810152493,cubic,3.828,3.828,3.828,
FeKO3,0.85,1.38,1.36,0.570330652,orthorhombic,5.401,5.856,10.009,
FeLaO3,0.78,1.03,1.36,0.633141637,orthorhombic,5.688,5.694,8.774,
