,Formula,eV
201,CaIrO3,0.659773133
252,CaIrO3,0
290,CaIrO3,0.025922275
127,CaLaO3,0.582431131
120,CaMgO3,0.3040411
20,CaMnO3,0.119090067
137,CaMnO3,0.120732864
191,CaMnO3,0.03398315
185,CaMoO3,0.006912026
325,CaMoO3,0
482,CaMoO3,0.009948299
354,CaNiO3,0.052312294
497,CaNiO3,0.11913134
17,CaOsO3,0.253204956
154,CaOsO3,0.08742767
198,CaPbO3,0.000973206
374,CaPrO3,0.173109519
263,CaPtO3,0.010892217
4,CaRhO3,0.269316104
28,CaRhO3,0
54,CaRhO3,0.014674423
5,CaRuO3,0.161418487
206,CaRuO3,0
490,CaSbO3,0.120920737
494,CaSbO3,0.110863134
121,CaScO3,0.234957527
297,CaSeO3,0
355,CaSeO3,0.011814914
53,CaSiO3,0.244000977
177,CaSiO3,0.020314518
237,CaSiO3,0.244292675
238,CaSiO3,0.241840053
254,CaSiO3,0.244266
256,CaSiO3,0.023036439
257,CaSiO3,2.72E-05
264,CaSiO3,0.244268765
269,CaSiO3,0.24170761
308,CaSiO3,0.24139584
309,CaSiO3,0.020287565
317,CaSiO3,0
322,CaSiO3,0.244747967
330,CaSiO3,0.357080963
251,CaSnO3,0
258,CaSnO3,0.014160639
280,CaSnO3,1.435284018
418,CaSnO3,0.194954053
138,CaTcO3,0
448,CaTcO3,0.103156688
449,CaTcO3,0.027873584
160,CaTeO3,0.015596813
176,CaTeO3,0.012962545
229,CaTeO3,0.011521584
304,CaTeO3,0.013453089
307,CaTeO3,0
310,CaTeO3,0.013727374
150,CaTiO3,0.0126817
241,CaTiO3,0.018416231
249,CaTiO3,0
291,CaTiO3,0.010969208
321,CaTiO3,0.064213668
361,CaTiO3,0.028806086
122,CaTmO3,0.39291471
9,CaVO3,0.130855051
215,CaVO3,0.00226585
457,CaVO3,0
496,CaWO3,0.048702319
499,CaWO3,0.224840564
126,CaYO3,0.468735963
124,CaZnO3,0.229497751
260,CaZrO3,0
